id,pobs,Authors,Transform,CorrelationCoefficient,StandardError,Tstatistic,CorrelationCoefficientCorrected,StandardErrorCorrected,TstatisticCorrected,Observations,DegreesofFreedom,NumberofCountries,YNPartial,YNSemi,SemiBalanceGap,SemiBalanceGrowth,SpendingElasticity,TaxRevenueGap,DependentVariable,DependentTransformation,CyclicalAdjustment,AutomaticStabiliser,FiscalBalance,GovSpend,Taxes,CycleVariable,CycleTransformation,CycleGDP,InteractedCycleVariable,SquaredCycleVariable,LaggedCycleVariable,ControlVariables,LaggedDependentVariable,PanelData,CrossSection,IntraNational,EUonly,USAonly,Africaonly,LatinAmericaonly,Asiaonly,CountryFixedEffects,TimeFixedEffects,RealTimeData,StartYear,EndYear,DataAdvancedCountries,DataDevelopingCountries,DataMixofCountries,YearAverage,ShareofDevelopingCountries,EconometricStrategy,NonOLS,TacklingEndogeneity,ShortRunEffect,LongRunEffect,JournalName,YearofPublication,JournalImpactFactor,ReviewedJournal,Citations,Primary,Preferred,Election,FiscalRule,FiscalFatigue,NoPublicDebt
1,1,Abbott et al. 2015,1,0.22,0.108910891,2.02,0.22,0.108910891,2.02,186,164,1,1,0,0,0,1,0,Log of local total real government spending,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,0,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,1,0,0,0,1
1,2,Abbott et al. 2015,1,0.211,0.159848485,1.32,0.211,0.159848485,1.32,186,164,1,1,0,0,0,1,0,Log of local total real government spending,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,3,Abbott et al. 2015,1,0.0005,0.002272727,0.22,0.0005,0.002272727,0.22,186,164,1,1,0,0,0,0,0,Log of local total real government spending,Difference,0,0,0,1,0,log of state real GDP,Level,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,1,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,4,Abbott et al. 2015,1,0.328,0.482352941,0.68,0.328,0.482352941,0.68,186,164,1,1,0,0,0,1,0,Log of local real capital spending,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,0,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,5,Abbott et al. 2015,1,-0.298,0.764102564,-0.39,-0.298,0.764102564,-0.39,186,164,1,1,0,0,0,1,0,Log of local real capital spending,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,6,Abbott et al. 2015,1,0.045,0.018518519,2.43,0.045,0.018518519,2.43,186,164,1,1,0,0,0,0,0,Log of local real capital spending,Difference,0,0,0,1,0,log of state real GDP,Level,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,1,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,7,Abbott et al. 2015,1,0.333,0.165671642,2.01,0.333,0.165671642,2.01,186,164,1,1,0,0,0,1,0,Log of local real government consumption,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,0,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,8,Abbott et al. 2015,1,0.284,0.489655172,0.58,0.284,0.489655172,0.58,186,164,1,1,0,0,0,1,0,Log of local real government consumption,Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,9,Abbott et al. 2015,1,-0.002,0.014285714,-0.14,-0.002,0.014285714,-0.14,186,164,1,1,0,0,0,0,0,Log of local real government consumption,Difference,0,0,0,1,0,log of state real GDP,Level,1,0,0,1,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,1,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
1,10,Abbott et al. 2015,1,0.242,0.254736842,0.95,0.242,0.254736842,0.95,186,164,1,1,0,0,0,1,0,Log of local real government consumption (human resources),Difference,0,0,0,1,0,log of state real GDP,Difference,1,0,0,0,xxx,1,1,0,1,0,0,0,1,0,0,0,0,2005,2010,0,1,0,0,1,GMM,1,1,1,0,European Journal of Political Economy,2015,2.366,1,33,1,0,0,0,0,1
